半导体	semiconductor
"15","weight","白色家电","钢结构",2.31938589151053e-05,0.058,"2.3e-05","****","Wilcoxon"
"16","weight","白色家电","钢铁",5.76618289358653e-30,2.3e-26,"< 2e-16","****","Wilcoxon"
"17","weight","白色家电","港口航运",3.25031946729546e-09,9.9e-06,"3.3e-09","****","Wilcoxon"
"18","weight","白色家电","公路铁路",0.00038087599196086,0.86,"0.00038","***","Wilcoxon"
"19","weight","白色家电","光电子器件",7.98148385535416e-35,3.2e-31,"< 2e-16","****","Wilcoxon"
"20","weight","白色家电","广播电视",0.469119889006746,1,"0.46912","ns","Wilcoxon"
"21","weight","白色家电","轨道交通设备",6.44200330094935e-06,0.017,"6.4e-06","****","Wilcoxon"
"22","weight","白色家电","贵金属",0.672256187320568,1,"0.67226","ns","Wilcoxon"
"23","weight","白色家电","航空航天装备",2.93792137629922e-13,9.8e-10,"2.9e-13","****","Wilcoxon"
"24","weight","白色家电","航空机场",0.000312932870241659,0.71,"0.00031","***","Wilcoxon"
"25","weight","白色家电","合成纤维及树脂",6.38157055827489e-39,2.6e-35,"< 2e-16","****","Wilcoxon"
"26","weight","白色家电","互联网服务",2.27667033952897e-39,9.2e-36,"< 2e-16","****","Wilcoxon"
"27","weight","白色家电","互联网技术",2.30467885477291e-13,7.7e-10,"2.3e-13","****","Wilcoxon"
"28","weight","白色家电","互联网商务",0.0539195724979896,1,"0.05392","ns","Wilcoxon"
"29","weight","白色家电","化肥农药",0.613980377323482,1,"0.61398","ns","Wilcoxon"
"30","weight","白色家电","化学新材料",1.50080197360453e-157,6.8e-154,"< 2e-16","****","Wilcoxon"
"31","weight","白色家电","化学原料",2.8837762208646e-44,1.2e-40,"< 2e-16","****","Wilcoxon"
"32","weight","白色家电","化学制品",1.2607619917371e-50,5.3e-47,"< 2e-16","****","Wilcoxon"
"33","weight","白色家电","化学制药",0.0935489910181535,1,"0.09355","ns","Wilcoxon"
"34","weight","白色家电","环保",8.91537400792355e-69,3.8e-65,"< 2e-16","****","Wilcoxon"
"35","weight","白色家电","机器人",0.170249345342914,1,"0.17025","ns","Wilcoxon"
"36","weight","白色家电","基本金属",1.49581194239938e-09,4.6e-06,"1.5e-09","****","Wilcoxon"
"37","weight","白色家电","基础建设",1.77183251875495e-07,5e-04,"1.8e-07","****","Wilcoxon"
"38","weight","白色家电","计算机软件",3.87027572714907e-78,1.7e-74,"< 2e-16","****","Wilcoxon"
"39","weight","白色家电","计算机硬件",2.95547865650193e-64,1.3e-60,"< 2e-16","****","Wilcoxon"
"40","weight","白色家电","家具",0.000160741211277724,0.37,"0.00016","***","Wilcoxon"
"41","weight","白色家电","建筑施工",1.55260530622469e-154,7e-151,"< 2e-16","****","Wilcoxon"
"42","weight","白色家电","教育",0.14028220488221,1,"0.14028","ns","Wilcoxon"
"43","weight","白色家电","金属非金属新材料",2.73061904055636e-46,1.1e-42,"< 2e-16","****","Wilcoxon"
"44","weight","白色家电","金属制品",2.08513488123014e-52,8.7e-49,"< 2e-16","****","Wilcoxon"
"45","weight","白色家电","林业",0.000457259717551201,1,"0.00046","***","Wilcoxon"
"46","weight","白色家电","零售",0.011761911307384,1,"0.01176","*","Wilcoxon"
"47","weight","白色家电","贸易",0.859691646032017,1,"0.85969","ns","Wilcoxon"
"48","weight","白色家电","煤炭",0.167449145732049,1,"0.16745","ns","Wilcoxon"
"49","weight","白色家电","耐火材料",5.62547382149389e-61,2.4e-57,"< 2e-16","****","Wilcoxon"
"50","weight","白色家电","农业",4.76132691324022e-05,0.12,"4.8e-05","****","Wilcoxon"
"51","weight","白色家电","平面媒体",0.185498173946001,1,"0.18550","ns","Wilcoxon"
"52","weight","白色家电","其他电气设备",3.00599850992336e-22,1.1e-18,"< 2e-16","****","Wilcoxon"
"53","weight","白色家电","其他家电",0.000142221811658192,0.33,"0.00014","***","Wilcoxon"
"54","weight","白色家电","其他建材",0.0135707622277724,1,"0.01357","*","Wilcoxon"
"55","weight","白色家电","其他交运设备",6.25123628871825e-06,0.016,"6.3e-06","****","Wilcoxon"
"56","weight","白色家电","其他轻工",0.0055409453033609,1,"0.00554","**","Wilcoxon"
"57","weight","白色家电","汽车",7.18395880114117e-30,2.8e-26,"< 2e-16","****","Wilcoxon"
"58","weight","白色家电","燃气",0.252281362962114,1,"0.25228","ns","Wilcoxon"
"59","weight","白色家电","商业物业经营",0.000861769469449988,1,"0.00086","***","Wilcoxon"
"60","weight","白色家电","生物医药",0.000138229117931606,0.32,"0.00014","***","Wilcoxon"
"61","weight","白色家电","石油天然气",5.84058642695361e-36,2.3e-32,"< 2e-16","****","Wilcoxon"
"62","weight","白色家电","食品",7.11565189601229e-23,2.7e-19,"< 2e-16","****","Wilcoxon"
"63","weight","白色家电","视听器材",2.56422956213074e-23,9.7e-20,"< 2e-16","****","Wilcoxon"
"64","weight","白色家电","输变电设备",3.99753068702017e-05,0.099,"4.0e-05","****","Wilcoxon"
"65","weight","白色家电","水泥",0.0214532296806829,1,"0.02145","*","Wilcoxon"
"66","weight","白色家电","水务",0.767965180502498,1,"0.76797","ns","Wilcoxon"
"67","weight","白色家电","陶瓷",2.37692570376953e-20,8.7e-17,"< 2e-16","****","Wilcoxon"
"68","weight","白色家电","铁矿石",0.546597182516029,1,"0.54660","ns","Wilcoxon"
"69","weight","白色家电","铁路设备",1.05085201346246e-15,3.6e-12,"1.1e-15","****","Wilcoxon"
"70","weight","白色家电","通信设备",1.6078611583424e-18,5.8e-15,"< 2e-16","****","Wilcoxon"
"71","weight","白色家电","通用设备",0.941722977332176,1,"0.94172","ns","Wilcoxon"
"72","weight","白色家电","卫星应用",3.89067540952943e-09,1.2e-05,"3.9e-09","****","Wilcoxon"
"73","weight","白色家电","文娱用品",3.46826877010437e-06,0.0092,"3.5e-06","****","Wilcoxon"
"74","weight","白色家电","物流",0.000419580730588746,0.94,"0.00042","***","Wilcoxon"
"75","weight","白色家电","稀有金属",7.68649378093158e-11,2.4e-07,"7.7e-11","****","Wilcoxon"
"76","weight","白色家电","橡胶制品",1.21991739600604e-20,4.5e-17,"< 2e-16","****","Wilcoxon"
"77","weight","白色家电","消费电子设备",0.000244583904344657,0.56,"0.00024","***","Wilcoxon"
"78","weight","白色家电","小家电",4.42617731400403e-37,1.8e-33,"< 2e-16","****","Wilcoxon"
"79","weight","白色家电","休闲服务",0.9715805755172,1,"0.97158","ns","Wilcoxon"
"80","weight","白色家电","医疗服务",8.27631723918625e-05,0.2,"8.3e-05","****","Wilcoxon"
"81","weight","白色家电","医疗器械",0.157233630165946,1,"0.15723","ns","Wilcoxon"
"82","weight","白色家电","医药商业",1.9923107925515e-37,8e-34,"< 2e-16","****","Wilcoxon"
"83","weight","白色家电","银行",0.0134291868649551,1,"0.01343","*","Wilcoxon"
"84","weight","白色家电","饮料",0.0256319398227848,1,"0.02563","*","Wilcoxon"
"85","weight","白色家电","营销服务",0.00026553917391274,0.61,"0.00027","***","Wilcoxon"
"86","weight","白色家电","影视动漫",2.39560100390482e-05,0.06,"2.4e-05","****","Wilcoxon"
"87","weight","白色家电","渔业",0.44627403717071,1,"0.44627","ns","Wilcoxon"
"88","weight","白色家电","造纸印刷",2.32467157973699e-57,9.8e-54,"< 2e-16","****","Wilcoxon"
"89","weight","白色家电","照明设备",2.63952918617183e-12,8.7e-09,"2.6e-12","****","Wilcoxon"
"90","weight","白色家电","中药生产",7.2184849425277e-15,2.5e-11,"7.2e-15","****","Wilcoxon"
"91","weight","白色家电","珠宝首饰",3.25523188979053e-22,1.2e-18,"< 2e-16","****","Wilcoxon"
"92","weight","白色家电","专业服务",1.47262167564112e-36,5.9e-33,"< 2e-16","****","Wilcoxon"
"93","weight","白色家电","专用设备",0.00298176596976641,1,"0.00298","**","Wilcoxon"
"94","weight","白色家电","装修装饰",6.02800270248439e-09,1.8e-05,"6.0e-09","****","Wilcoxon"
"95","weight","白色家电","综合",6.45643833029978e-21,2.4e-17,"< 2e-16","****","Wilcoxon"
"96","weight","半导体","玻璃",1.08457834056926e-09,3.3e-06,"1.1e-09","****","Wilcoxon"
"97","weight","半导体","畜牧业",1.0550262519669e-12,3.5e-09,"1.1e-12","****","Wilcoxon"
"98","weight","半导体","船舶与海洋装备",0.0145759336279262,1,"0.01458","*","Wilcoxon"
"99","weight","半导体","电机",0.00479463992807307,1,"0.00479","**","Wilcoxon"
"100","weight","半导体","电力",1.59486483093133e-25,6.1e-22,"< 2e-16","****","Wilcoxon"
"101","weight","半导体","电源设备",9.8200240643096e-81,4.3e-77,"< 2e-16","****","Wilcoxon"
"102","weight","半导体","电子器件",0.251181692222327,1,"0.25118","ns","Wilcoxon"
"103","weight","半导体","电子设备制造",4.24158351863458e-78,1.8e-74,"< 2e-16","****","Wilcoxon"
"104","weight","半导体","电子元件",0.000331967870907553,0.75,"0.00033","***","Wilcoxon"
"105","weight","半导体","房地产开发",0.019368221260931,1,"0.01937","*","Wilcoxon"
"106","weight","半导体","纺织",0.845757787421526,1,"0.84576","ns","Wilcoxon"
"107","weight","半导体","非银行金融",0.554016732126448,1,"0.55402","ns","Wilcoxon"
"108","weight","半导体","服装家纺",6.42202378842523e-45,2.6e-41,"< 2e-16","****","Wilcoxon"
"109","weight","半导体","钢结构",7.97195674568922e-05,0.19,"8.0e-05","****","Wilcoxon"
"110","weight","半导体","钢铁",1.07982546398771e-44,4.4e-41,"< 2e-16","****","Wilcoxon"
"111","weight","半导体","港口航运",3.3958202103518e-10,1.1e-06,"3.4e-10","****","Wilcoxon"
"112","weight","半导体","公路铁路",0.000446285231951605,1,"0.00045","***","Wilcoxon"
"113","weight","半导体","光电子器件",5.84047253094032e-27,2.3e-23,"< 2e-16","****","Wilcoxon"
"114","weight","半导体","广播电视",0.918342120194323,1,"0.91834","ns","Wilcoxon"
"115","weight","半导体","轨道交通设备",8.88786348324517e-06,0.023,"8.9e-06","****","Wilcoxon"
"116","weight","半导体","贵金属",0.743414071249715,1,"0.74341","ns","Wilcoxon"
"117","weight","半导体","航空航天装备",2.27221456277522e-11,7.3e-08,"2.3e-11","****","Wilcoxon"
"118","weight","半导体","航空机场",0.000994318500592486,1,"0.00099","***","Wilcoxon"
"119","weight","半导体","合成纤维及树脂",2.18864492844072e-52,9.2e-49,"< 2e-16","****","Wilcoxon"
"120","weight","半导体","互联网服务",6.24519168413114e-35,2.5e-31,"< 2e-16","****","Wilcoxon"
"121","weight","半导体","互联网技术",5.0691382691014e-12,1.7e-08,"5.1e-12","****","Wilcoxon"
"122","weight","半导体","互联网商务",0.404426802377681,1,"0.40443","ns","Wilcoxon"
"123","weight","半导体","化肥农药",0.870145786840136,1,"0.87015","ns","Wilcoxon"
"124","weight","半导体","化学新材料",1.39927540352291e-211,6.3e-208,"< 2e-16","****","Wilcoxon"
"125","weight","半导体","化学原料",1.87694310878989e-68,8.1e-65,"< 2e-16","****","Wilcoxon"
"126","weight","半导体","化学制品",7.50637763874334e-75,3.2e-71,"< 2e-16","****","Wilcoxon"
"127","weight","半导体","化学制药",0.0824147861819461,1,"0.08241","ns","Wilcoxon"
"128","weight","半导体","环保",2.85295963110543e-95,1.3e-91,"< 2e-16","****","Wilcoxon"
"129","weight","半导体","机器人",0.00215500426203927,1,"0.00216","**","Wilcoxon"
"130","weight","半导体","基本金属",1.89155376801005e-11,6.1e-08,"1.9e-11","****","Wilcoxon"
"131","weight","半导体","基础建设",1.56524989946728e-09,4.8e-06,"1.6e-09","****","Wilcoxon"
"132","weight","半导体","计算机软件",3.86586503702276e-96,1.7e-92,"< 2e-16","****","Wilcoxon"
"133","weight","半导体","计算机硬件",3.20650253735401e-83,1.4e-79,"< 2e-16","****","Wilcoxon"
"134","weight","半导体","家具",0.000138840101427217,0.33,"0.00014","***","Wilcoxon"
"135","weight","半导体","建筑施工",1.96999682078559e-201,8.9e-198,"< 2e-16","****","Wilcoxon"
"136","weight","半导体","教育",0.591855584811102,1,"0.59186","ns","Wilcoxon"
"137","weight","半导体","金属非金属新材料",4.70819382610058e-66,2e-62,"< 2e-16","****","Wilcoxon"
"138","weight","半导体","金属制品",6.93346811818555e-60,2.9e-56,"< 2e-16","****","Wilcoxon"
"139","weight","半导体","林业",0.00272873468396158,1,"0.00273","**","Wilcoxon"
"140","weight","半导体","零售",0.0335462868029087,1,"0.03355","*","Wilcoxon"
"141","weight","半导体","贸易",0.977838619423976,1,"0.97784","ns","Wilcoxon"
"142","weight","半导体","煤炭",0.16719593922495,1,"0.16720","ns","Wilcoxon"
"143","weight","半导体","耐火材料",1.31630989042483e-67,5.6e-64,"< 2e-16","****","Wilcoxon"
"144","weight","半导体","农业",0.000490303179773535,1,"0.00049","***","Wilcoxon"
"145","weight","半导体","平面媒体",0.185288680849162,1,"0.18529","ns","Wilcoxon"
"146","weight","半导体","其他电气设备",6.85503564513527e-20,2.5e-16,"< 2e-16","****","Wilcoxon"
"147","weight","半导体","其他家电",6.92260792234232e-06,0.018,"6.9e-06","****","Wilcoxon"
"148","weight","半导体","其他建材",0.00161954966687445,1,"0.00162","**","Wilcoxon"
"149","weight","半导体","其他交运设备",3.08347306455323e-05,0.077,"3.1e-05","****","Wilcoxon"
"150","weight","半导体","其他轻工",0.00489842708746929,1,"0.00490","**","Wilcoxon"
"151","weight","半导体","汽车",6.8057702460865e-41,2.8e-37,"< 2e-16","****","Wilcoxon"
"152","weight","半导体","燃气",0.725228120585975,1,"0.72523","ns","Wilcoxon"
"153","weight","半导体","商业物业经营",0.0182453109461872,1,"0.01825","*","Wilcoxon"
"154","weight","半导体","生物医药",0.000445575226593857,1,"0.00045","***","Wilcoxon"
"155","weight","半导体","石油天然气",2.175952550395e-40,8.8e-37,"< 2e-16","****","Wilcoxon"
"156","weight","半导体","食品",1.8052919659956e-21,6.7e-18,"< 2e-16","****","Wilcoxon"
"157","weight","半导体","视听器材",1.08509039677865e-22,4.1e-19,"< 2e-16","****","Wilcoxon"
"158","weight","半导体","输变电设备",1.56374223915881e-06,0.0042,"1.6e-06","****","Wilcoxon"
"159","weight","半导体","水泥",0.00251713104765502,1,"0.00252","**","Wilcoxon"
"160","weight","半导体","水务",0.149310146144604,1,"0.14931","ns","Wilcoxon"
"161","weight","半导体","陶瓷",1.25826995153621e-19,4.6e-16,"< 2e-16","****","Wilcoxon"
"162","weight","半导体","铁矿石",0.499393512767468,1,"0.49939","ns","Wilcoxon"
"163","weight","半导体","铁路设备",6.27497836914113e-15,2.2e-11,"6.3e-15","****","Wilcoxon"
"164","weight","半导体","通信设备",2.55816681309258e-21,9.5e-18,"< 2e-16","****","Wilcoxon"
"165","weight","半导体","通用设备",0.187344987866109,1,"0.18734","ns","Wilcoxon"
"166","weight","半导体","卫星应用",3.1756979155485e-08,9.3e-05,"3.2e-08","****","Wilcoxon"
"167","weight","半导体","文娱用品",3.38364868028332e-05,0.084,"3.4e-05","****","Wilcoxon"
"168","weight","半导体","物流",2.12496445088039e-06,0.0057,"2.1e-06","****","Wilcoxon"
"169","weight","半导体","稀有金属",6.91587213289294e-11,2.2e-07,"6.9e-11","****","Wilcoxon"
"170","weight","半导体","橡胶制品",2.98537387666468e-23,1.1e-19,"< 2e-16","****","Wilcoxon"
"171","weight","半导体","消费电子设备",0.00275415756503684,1,"0.00275","**","Wilcoxon"
"172","weight","半导体","小家电",2.54856275092285e-36,1e-32,"< 2e-16","****","Wilcoxon"
"173","weight","半导体","休闲服务",0.945871894110701,1,"0.94587","ns","Wilcoxon"
"174","weight","半导体","医疗服务",0.00194366664361879,1,"0.00194","**","Wilcoxon"
"175","weight","半导体","医疗器械",0.016702928578911,1,"0.01670","*","Wilcoxon"
"176","weight","半导体","医药商业",8.46188185438777e-34,3.4e-30,"< 2e-16","****","Wilcoxon"
"177","weight","半导体","银行",0.0375648792471314,1,"0.03756","*","Wilcoxon"
"178","weight","半导体","饮料",0.111488509413686,1,"0.11149","ns","Wilcoxon"
"179","weight","半导体","营销服务",0.00262301753013325,1,"0.00262","**","Wilcoxon"
"180","weight","半导体","影视动漫",0.00138837787144597,1,"0.00139","**","Wilcoxon"
"181","weight","半导体","渔业",0.860098321235052,1,"0.86010","ns","Wilcoxon"
"182","weight","半导体","造纸印刷",1.90309876323344e-79,8.3e-76,"< 2e-16","****","Wilcoxon"
"183","weight","半导体","照明设备",1.45292951548864e-12,4.8e-09,"1.5e-12","****","Wilcoxon"
"184","weight","半导体","中药生产",1.65659130722198e-11,5.4e-08,"1.7e-11","****","Wilcoxon"
"185","weight","半导体","珠宝首饰",2.71248939012199e-21,1e-17,"< 2e-16","****","Wilcoxon"
"186","weight","半导体","专业服务",1.82520239470808e-46,7.5e-43,"< 2e-16","****","Wilcoxon"
"187","weight","半导体","专用设备",7.42799966796211e-06,0.019,"7.4e-06","****","Wilcoxon"
"188","weight","半导体","装修装饰",1.60252106589474e-08,4.8e-05,"1.6e-08","****","Wilcoxon"
"189","weight","半导体","综合",3.1520651159342e-20,1.2e-16,"< 2e-16","****","Wilcoxon"
"190","weight","玻璃","畜牧业",8.76081267239612e-10,2.7e-06,"8.8e-10","****","Wilcoxon"
"191","weight","玻璃","船舶与海洋装备",0.675969767427695,1,"0.67597","ns","Wilcoxon"
"192","weight","玻璃","电机",1.30132997072085e-10,4.1e-07,"1.3e-10","****","Wilcoxon"
"193","weight","玻璃","电力",0.000218591578649198,0.51,"0.00022","***","Wilcoxon"
"194","weight","玻璃","电源设备",0.000592811010927023,1,"0.00059","***","Wilcoxon"
"195","weight","玻璃","电子器件",6.2280042418955e-09,1.9e-05,"6.2e-09","****","Wilcoxon"
"196","weight","玻璃","电子设备制造",0.00266576419738695,1,"0.00267","**","Wilcoxon"
"197","weight","玻璃","电子元件",1.16237181919484e-09,3.6e-06,"1.2e-09","****","Wilcoxon"
"198","weight","玻璃","房地产开发",0.000541138336256314,1,"0.00054","***","Wilcoxon"
"199","weight","玻璃","纺织",0.00372433229622718,1,"0.00372","**","Wilcoxon"
"200","weight","玻璃","非银行金融",1.00882011392075e-06,0.0028,"1.0e-06","****","Wilcoxon"
"201","weight","玻璃","服装家纺",6.70323074760459e-10,2.1e-06,"6.7e-10","****","Wilcoxon"
"202","weight","玻璃","钢结构",7.40937269532138e-10,2.3e-06,"7.4e-10","****","Wilcoxon"
"203","weight","玻璃","钢铁",0.000576328528061678,1,"0.00058","***","Wilcoxon"
"204","weight","玻璃","港口航运",0.79745379387397,1,"0.79745","ns","Wilcoxon"
"205","weight","玻璃","公路铁路",0.000173009801630195,0.4,"0.00017","***","Wilcoxon"
"206","weight","玻璃","光电子器件",8.51049101334232e-15,2.9e-11,"8.5e-15","****","Wilcoxon"
"207","weight","玻璃","广播电视",0.000163959880775102,0.38,"0.00016","***","Wilcoxon"
"208","weight","玻璃","轨道交通设备",0.208219913218087,1,"0.20822","ns","Wilcoxon"
"209","weight","玻璃","贵金属",0.136602649358369,1,"0.13660","ns","Wilcoxon"
"210","weight","玻璃","航空航天装备",1.43470323750903e-09,4.4e-06,"1.4e-09","****","Wilcoxon"
"211","weight","玻璃","航空机场",0.00426196252514887,1,"0.00426","**","Wilcoxon"
"212","weight","玻璃","合成纤维及树脂",0.131653609008082,1,"0.13165","ns","Wilcoxon"
"213","weight","玻璃","互联网服务",2.53026609847035e-06,0.0068,"2.5e-06","****","Wilcoxon"
"214","weight","玻璃","互联网技术",1.84957410138202e-06,0.005,"1.8e-06","****","Wilcoxon"
"215","weight","玻璃","互联网商务",2.86583907553819e-05,0.071,"2.9e-05","****","Wilcoxon"
"216","weight","玻璃","化肥农药",1.16707718650816e-07,0.00033,"1.2e-07","****","Wilcoxon"
"217","weight","玻璃","化学新材料",0.144799360529084,1,"0.14480","ns","Wilcoxon"
"218","weight","玻璃","化学原料",0.0252019334178303,1,"0.02520","*","Wilcoxon"
"219","weight","玻璃","化学制品",0.00822328335133659,1,"0.00822","**","Wilcoxon"
"220","weight","玻璃","化学制药",5.97428125509534e-07,0.0017,"6.0e-07","****","Wilcoxon"
"221","weight","玻璃","环保",0.5327456051628,1,"0.53275","ns","Wilcoxon"
"222","weight","玻璃","机器人",2.77904508148417e-09,8.4e-06,"2.8e-09","****","Wilcoxon"
"223","weight","玻璃","基本金属",4.40696705545426e-08,0.00013,"4.4e-08","****","Wilcoxon"
"224","weight","玻璃","基础建设",0.00553932291360472,1,"0.00554","**","Wilcoxon"
"225","weight","玻璃","计算机软件",0.186852312798377,1,"0.18685","ns","Wilcoxon"
"226","weight","玻璃","计算机硬件",1.4440210023407e-05,0.037,"1.4e-05","****","Wilcoxon"
"227","weight","玻璃","家具",3.33176839914165e-08,9.8e-05,"3.3e-08","****","Wilcoxon"
"228","weight","玻璃","建筑施工",0.00100430759357044,1,"0.00100","**","Wilcoxon"
"229","weight","玻璃","教育",5.75975602571023e-06,0.015,"5.8e-06","****","Wilcoxon"
"230","weight","玻璃","金属非金属新材料",0.0273998422324492,1,"0.02740","*","Wilcoxon"
"231","weight","玻璃","金属制品",7.85208669369134e-14,2.7e-10,"7.9e-14","****","Wilcoxon"
"232","weight","玻璃","林业",0.135690838229211,1,"0.13569","ns","Wilcoxon"
"233","weight","玻璃","零售",0.000145416520963919,0.34,"0.00015","***","Wilcoxon"
"234","weight","玻璃","贸易",4.48333694003145e-07,0.0013,"4.5e-07","****","Wilcoxon"
"235","weight","玻璃","煤炭",4.20915556658692e-06,0.011,"4.2e-06","****","Wilcoxon"
"236","weight","玻璃","耐火材料",0.0150809135574339,1,"0.01508","*","Wilcoxon"
"237","weight","玻璃","农业",1.52558945005998e-10,4.8e-07,"1.5e-10","****","Wilcoxon"
"238","weight","玻璃","平面媒体",0.371911895307571,1,"0.37191","ns","Wilcoxon"
"239","weight","玻璃","其他电气设备",0.000224262530536609,0.52,"0.00022","***","Wilcoxon"
"240","weight","玻璃","其他家电",1.2544854464293e-07,0.00036,"1.3e-07","****","Wilcoxon"
"241","weight","玻璃","其他建材",2.45171014379887e-10,7.7e-07,"2.5e-10","****","Wilcoxon"
"242","weight","玻璃","其他交运设备",0.000107611332465878,0.26,"0.00011","***","Wilcoxon"
"243","weight","玻璃","其他轻工",0.154265141149277,1,"0.15427","ns","Wilcoxon"
"244","weight","玻璃","汽车",0.000143768440089036,0.34,"0.00014","***","Wilcoxon"
"245","weight","玻璃","燃气",4.97770278356955e-07,0.0014,"5.0e-07","****","Wilcoxon"
"246","weight","玻璃","商业物业经营",1.86556810645456e-07,0.00053,"1.9e-07","****","Wilcoxon"
"247","weight","玻璃","生物医药",1.16096519812675e-07,0.00033,"1.2e-07","****","Wilcoxon"
"248","weight","玻璃","石油天然气",1.44754424674528e-05,0.037,"1.4e-05","****","Wilcoxon"
"249","weight","玻璃","食品",1.00476588545333e-09,3.1e-06,"1.0e-09","****","Wilcoxon"
"250","weight","玻璃","视听器材",0.0926683525291265,1,"0.09267","ns","Wilcoxon"
"251","weight","玻璃","输变电设备",3.91722079415832e-05,0.097,"3.9e-05","****","Wilcoxon"
"252","weight","玻璃","水泥",1.87046431473907e-07,0.00053,"1.9e-07","****","Wilcoxon"
"253","weight","玻璃","水务",0.00084484869320463,1,"0.00084","***","Wilcoxon"
"254","weight","玻璃","陶瓷",0.015077297004561,1,"0.01508","*","Wilcoxon"
"255","weight","玻璃","铁矿石",0.715063290705372,1,"0.71506","ns","Wilcoxon"
"256","weight","玻璃","铁路设备",0.121317222191974,1,"0.12132","ns","Wilcoxon"
"257","weight","玻璃","通信设备",0.00260377019856997,1,"0.00260","**","Wilcoxon"
"258","weight","玻璃","通用设备",9.97477411036055e-07,0.0027,"1.0e-06","****","Wilcoxon"
"259","weight","玻璃","卫星应用",6.16286405564863e-07,0.0017,"6.2e-07","****","Wilcoxon"
"260","weight","玻璃","文娱用品",2.80712737912704e-07,0.00079,"2.8e-07","****","Wilcoxon"
"261","weight","玻璃","物流",4.94951565043859e-05,0.12,"4.9e-05","****","Wilcoxon"
"262","weight","玻璃","稀有金属",5.18510870416387e-07,0.0014,"5.2e-07","****","Wilcoxon"
"263","weight","玻璃","橡胶制品",0.000538944977622423,1,"0.00054","***","Wilcoxon"
"264","weight","玻璃","消费电子设备",3.21736303940136e-10,1e-06,"3.2e-10","****","Wilcoxon"
